Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6454083412	-1.2703036070	3.5412440300
0.6454662222	-1.2702859640	3.5412335396
0.6455240854	-1.2702664137	3.5412218571
0.6455819779	-1.2702054977	3.5411856174
0.6456398380	-1.2701659203	3.5411620140
0.6456977190	-1.2702435255	3.5412082672
0.6457555792	-1.2702652216	3.5412211418
0.6458134602	-1.2702744007	3.5412266254
0.6458713408	-1.2702764273	3.5412278175
0.6459291991	-1.2702404261	3.5412063599
0.6459870843	-1.2702808380	3.5412304401
0.6460449462	-1.2702231407	3.5411961079
0.6461028328	-1.2701698542	3.5411643982
0.6461607134	-1.2702243328	3.5411968231
0.6462185775	-1.2701771259	3.5411686897
0.6462764582	-1.2701423168	3.5411479473
0.6463343163	-1.2701094151	3.5411283970
0.6463921997	-1.2701246738	3.5411374569
0.6464500807	-1.2701627016	3.5411601067
0.6465079476	-1.2701442242	3.5411491394
0.6465658309	-1.2701470852	3.5411508083
0.6466237122	-1.2702007294	3.5411827564
0.6466815701	-1.2701450586	3.5411496162
0.6467394511	-1.2701715231	3.5411653519
0.6467973090	-1.2702095509	3.5411880016
0.6468551899	-1.2701022625	3.5411241055
0.6469130730	-1.2700949907	3.5411198139
0.6469709308	-1.2700762749	3.5411086082
0.6470288119	-1.2700949907	3.5411198139
0.6470866929	-1.2700301409	3.5410811901
0.6471445735	-1.2700998783	3.5411226749
0.6472024294	-1.2698936462	3.5409998894
0.6472603059	-1.2699192762	3.5410151482
0.6473181600	-1.2699172497	3.5410139561
0.6473760365	-1.2700669765	3.5411031246
0.6474339158	-1.2699921131	3.5410585403
0.6474917693	-1.2699981928	3.5410621166
0.6475496465	-1.2699825764	3.5410528183
0.6476075229	-1.2699552774	3.5410366058
0.6476653769	-1.2700598240	3.5410988331
0.6477232539	-1.2699881792	3.5410561562
0.6477811336	-1.2699537277	3.5410356522
0.6478389881	-1.2699673176	3.5410437584
0.6478968685	-1.2698872089	3.5409960747
0.6479547269	-1.2698812485	3.5409924984
Added dye at 15:33
0.6480126048	-1.2696970701	3.5408828259
0.6480704827	5.9664363861	0.6860200763
0.6481283375	20.3434600830	-0.9667378068
0.6481862152	14.9244222641	-0.6442191005
0.6482440954	14.6321344376	-0.6199650168
0.6483019500	14.7458314896	-0.6295031905
0.6483598321	14.5179681778	-0.6102525592
0.6484177096	14.2804059982	-0.5896005630
0.6484755671	14.1581001282	-0.5787308812
0.6485334475	13.9680948257	-0.5615173578
0.6485913106	13.7916259766	-0.5451664329
0.6486491911	13.5790691376	-0.5249953270
0.6487070458	13.4210929871	-0.5096590519
0.6487649237	13.2005605698	-0.4877461493
0.6488228013	13.0274515152	-0.4701247513
0.6488806563	12.8714065552	-0.4539161026
0.6489385340	12.6621370316	-0.4316856563
0.6489964169	12.5099229813	-0.4151533544
0.6490542741	12.3446607590	-0.3968505561
0.6491121516	12.1939105988	-0.3798278868
0.6491700297	12.0392045975	-0.3620276749
0.6492279076	11.8437929153	-0.3390552700
0.6492857644	11.7149124146	-0.3235996366
0.6493436192	11.5704231262	-0.3059788346
0.6494014970	11.3991003036	-0.2846764922
0.6494593750	11.2420921326	-0.2647563517
0.6495172528	11.1242389679	-0.2495496273
0.6495751117	10.9822225571	-0.2309302986
0.6496329894	10.7948312759	-0.2058596909
0.6496908442	10.6617164612	-0.1876969039
0.6497487126	10.5430631638	-0.1712551117
0.6498065936	10.3880567551	-0.1494117230
0.6498644714	10.2302703857	-0.1267454922
0.6499223262	10.1155653000	-0.1099899635
0.6499802038	9.9610052109	-0.0870361403
0.6500380820	9.8474922180	-0.0698985606
0.6500959368	9.6719779968	-0.0429256447
0.6501538143	9.5238399506	-0.0197030026
0.6502116922	9.3900585175	0.0016350442
0.6502695704	9.2912817001	0.0176165123
0.6503274252	9.1628313065	0.0386909731
0.6503853031	9.0566864014	0.0563584715
0.6504431809	8.9089555740	0.0813343823
0.6505010357	8.7478179932	0.1090984717
0.6505589132	8.6332731247	0.1291713119
0.6506167914	8.5434074402	0.1451184154
0.6506746514	8.4123859406	0.1686861515
0.6507325296	8.2664136887	0.1953938156
0.6507903844	8.1402816772	0.2188602090
0.6508482652	8.0305175781	0.2395792007
0.6509061432	7.9287500381	0.2590398490
0.6509640249	7.8120365143	0.2816601694
0.6510218799	7.7109150887	0.3015223742
0.6510797575	7.5802340508	0.3275586963
0.6511376127	7.4828643799	0.3472316861
0.6511954902	7.3523812294	0.3739666641
0.6512533513	7.2687616348	0.3913263381
0.6513112509	7.1552267075	0.4151835442
0.6513691049	7.0458717346	0.4384791553
0.6514269584	6.9301061630	0.4634836018
0.6514848352	6.8067455292	0.4905226529
0.6515427146	6.7284383774	0.5079003572
0.6516005911	6.6352972984	0.5287887454
0.6516584488	6.4986047745	0.5598801970
0.6517163253	6.4382963181	0.5737643838
0.6517741794	6.3413085938	0.5963097811
0.6518320562	6.2046198845	0.6285432577
0.6518899331	6.1288256645	0.6466513276
0.6519478142	6.0449948311	0.6668768525
0.6520056720	5.9275908470	0.6955546141
0.6520635280	5.8342843056	0.7186428905
0.6521214048	5.7383275032	0.7426645756
0.6521792623	5.6123771667	0.7746273875
0.6522371418	5.5331573486	0.7949860692
0.6522950186	5.4350056648	0.8204862475
0.6523528816	5.3309497833	0.8478581905
0.6524107584	5.2494125366	0.8695523143
0.6524686118	5.1575927734	0.8942437768
0.6525264890	5.0720009804	0.9175124168
0.6525843658	4.9790916443	0.9430489540
0.6526422192	4.9049334526	0.9636417031
