Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.5998614092	18.0002880096	-0.8529944420
0.5999192862	17.8055706024	-0.8419862390
0.5999771400	17.8228054047	-0.8429712057
0.6000350176	17.5722808838	-0.8284459710
0.6000928947	0.3169970214	2.6824340820
0.6001507488	-1.2350730896	3.5203096867
0.6002086259	-1.2340315580	3.5196921825
0.6002665031	-1.2338063717	3.5195586681
stock poured @ 14:25
0.6003243802	-1.2334805727	3.5193655491
0.6003822386	-1.2323503494	3.5186955929
0.6004400956	-1.2063366175	3.5033011436
0.6004979730	-1.1816356182	3.4887290001
0.6005558502	-1.1816711426	3.4887499809
0.6006137040	-1.1777372360	3.4864332676
0.6006716043	-1.1588956118	3.4753527641
0.6007294586	-1.1323565245	3.4597890377
0.6007873163	-1.1076197624	3.4453277588
0.6008451938	-1.0738514662	3.4256575108
0.6009030732	-1.0297927856	3.4001152515
0.6009609500	-1.0245114565	3.3970627785
0.6010188065	-0.9178054929	3.3358113766
0.6010766834	-0.8292251229	3.2855706215
0.6011345375	-0.7478668690	3.2399051189
0.6011924168	-0.7567892671	3.2448909283
0.6012502728	-0.7386325002	3.2347507477
0.6013081500	-0.7178176045	3.2231538296
0.6013660272	-0.6810166240	3.2027227879
0.6014238812	-0.5926406384	3.1540338993
0.6014817584	-0.5422046781	3.1264832020
0.6015396355	-0.4661775231	3.0852744579
0.6015975127	-0.4881393611	3.0971388817
0.6016553713	-0.4411509037	3.0717933178
0.6017132488	-0.3804397881	3.0392615795
0.6017711256	-0.3484211862	3.0222020149
0.6018289797	-0.3255185187	3.0100405216
0.6018868572	-0.3075474501	3.0005216599
0.6019447115	-0.2871490121	2.9897425175
0.6020025886	-0.2273288667	2.9582870007
0.6020604664	-0.2206419259	2.9547851086
0.6021183434	-0.1746824980	2.9307942390
0.6021761979	-0.1272524893	2.9061772823
0.6022340775	-0.1065205932	2.8954620361
0.6022919315	-0.1090586931	2.8967723846
0.6023498092	-0.0893709138	2.8866188526
0.6024076865	-0.0437586680	2.8631894588
0.6024655409	-0.0292449687	2.8557617664
0.6025234183	-0.0280208774	2.8551359177
0.6025812956	-0.0043240385	2.8430387974
0.6026391727	0.0115623949	2.8349485397
0.6026970270	0.0304075498	2.8253719807
0.6027549043	0.0348076038	2.8231391907
0.6028127817	0.0523666404	2.8142409325
0.6028706360	0.0654053763	2.8076457977
0.6029285133	0.0551821850	2.8128159046
0.6029863932	0.0666668937	2.8070082664
0.6030442505	0.0774676427	2.8015539646
0.6031021279	0.0805348009	2.8000063896
0.6031599851	0.0852240101	2.7976415157
0.6032178627	0.0977509320	2.7913305759
0.6032757401	0.0956156850	2.7924056053
0.6033336196	0.0883863345	2.7960474491
0.6033914738	0.1112117469	2.7845599651
0.6034493512	0.0955763832	2.7924253941
0.6035072058	0.0920397267	2.7942066193
0.6035651060	0.1060590446	2.7871503830
0.6036229605	0.0924533904	2.7939982414
0.6036808147	0.0870590135	2.7967164516
0.6037386919	0.0718173832	2.8044064045
0.6037965695	0.0807162896	2.7999148369
0.6038544239	0.0842366815	2.7981393337
0.6039123009	0.0709020123	2.8048686981
0.6039701785	0.0552099831	2.8128018379
0.6040280326	0.0654223561	2.8076372147
0.6040859099	0.0549273007	2.8129448891
0.6041437876	0.0494833291	2.8157007694
0.6042016650	0.0282988101	2.8264424801
0.6042595192	0.0248513278	2.8281931877
0.6043173967	0.0265990645	2.8273055553
0.6043752741	0.0211331751	2.8300821781
0.6044331282	0.0037639497	2.8389179707
