Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6256714656	-1.0213347673	3.3952276707
0.6257293197	-1.0228545666	3.3961055279
0.6257872011	-1.0097838640	3.3885610104
started expt3 @ 15:01
0.6258450551	-1.0196986198	3.3942828178
0.6259029323	-1.0008887053	3.3834335804
0.6259608127	-0.9810512066	3.3720188141
0.6260186902	-0.9722803831	3.3669807911
0.6260765477	-0.9502424598	3.3543460369
0.6261344249	-0.9405766129	3.3488152027
0.6261922811	-0.9135031104	3.3333585262
0.6262501583	-0.8546187282	3.2999174595
0.6263080354	-0.7998747230	3.2690439224
0.6263659124	-0.7493587136	3.2407383919
0.6264237668	-0.6616929173	3.1920316219
0.6264816436	-0.5971714854	3.1565172672
0.6265395003	-0.5421096683	3.1264314651
0.6265973775	-0.4508734345	3.0770256519
0.6266552547	-0.3980062306	3.0486495495
0.6267131087	-0.3404059112	3.0179419518
0.6267709881	-0.2419383526	2.9659478664
0.6268288421	-0.1878644973	2.9376614094
0.6268867194	-0.0092620710	2.8455567360
0.6269446036	0.0042677261	2.8386614323
0.6270024828	0.0968913659	2.7917633057
0.6270603369	0.2003490031	2.7400064468
0.6271181958	0.2685996294	2.7062208652
0.6271760726	0.3168072999	2.6825270653
0.6272339501	0.4343580306	2.6253361702
0.6272918199	0.5014536381	2.5930609703
0.6273496742	0.4704094827	2.6079611778
0.6274075742	0.4717749953	2.6073045731
0.6274654398	0.5206660628	2.5838680267
0.6275232856	0.5804304481	2.5554096699
0.6275811535	0.7080494165	2.4953353405
0.6276390304	0.7571131587	2.4724888802
0.6276969071	0.8355631828	2.4362435341
0.6277547748	0.9331881404	2.3916239738
0.6278126289	0.9755058289	2.3724482059
0.6278705063	1.0054664612	2.3589320183
0.6279283770	1.1266930103	2.3047478199
0.6279862541	1.2459409237	2.2522292137
0.6280441314	1.2821780443	2.2364215851
0.6281019900	1.3585860729	2.2033200264
0.6281598669	1.3755072355	2.1960313320
0.6282177240	1.4101988077	2.1811354160
0.6282756015	1.4373824596	2.1695075035
0.6283334814	1.4657603502	2.1574101448
0.6283913292	1.5076376200	2.1396348476
0.6284492182	1.5734617710	2.1118791103
0.6285070723	1.5819091797	2.1083333492
0.6285649534	1.5669845343	2.1146004200
0.6286228075	1.6348323822	2.0862026215
0.6286806898	1.6479568481	2.0807366371
0.6287385673	1.7709969282	2.0299198627
0.6287964213	1.7657318115	2.0320787430
0.6288542982	1.8211593628	2.0094215870
0.6289121674	1.8144031763	2.0121750832
0.6289700445	1.8352373838	2.0036914349
0.6290278986	1.8848484755	1.9835771322
0.6290857758	1.8973665237	1.9785211086
0.6291436529	1.9180247784	1.9701943398
0.6292015090	1.8642077446	1.9919308424
0.6292593980	1.9378038645	1.9622416496
0.6293172771	1.9214158058	1.9688295126
0.6293751314	1.9581837654	1.9540675879
0.6294329855	1.9825849533	1.9443075657
0.6294908855	1.9679878950	1.9501426220
