Day fraction since midnight on	pH probe (pH)
0.6073395356	8.589363098
0.6073511031	8.674931526
0.6073626705	8.473258019
0.6073742379	8.365591049
0.6073858284	8.400857925
0.6073973956	9.200595856
0.6074089676	8.412930489
0.6074205348	8.527834892
0.6074321256	8.506290436
0.6074436928	8.494793892
0.6074552604	8.510066986
0.6074668509	8.56320858
0.6074784184	8.55433178
0.6074899858	8.622091293
0.6075015532	8.49695015
0.6075131435	8.520045281
0.6075247112	8.370725632
0.6075362786	8.465836525
0.6075478689	8.505784988
0.6075594363	8.439012528
0.6075710271	8.51088047
0.6075825711	8.506157875
0.6075941618	8.551981926
0.6076057525	8.436991692
0.6076172967	8.422650337
0.6076288873	8.44334507
0.6076404547	8.376545906
0.6076520221	8.509602547
0.6076635895	8.420555115
0.6076751798	8.414903641
0.6076867475	8.498736382
0.6076983149	8.474917412
0.6077099052	8.464896202
0.6077214728	8.442404747
0.6077330403	8.399829865
0.6077446077	8.445033073
0.607756198	8.482556343
0.6077677656	8.406766892
0.607779333	8.418395042
0.6077909234	8.431386948
0.607802491	8.367444038
0.6078140602	8.553147316
0.6078256305	8.759858131
0.607837221	8.872398377
0.6078487884	8.864888191
0.6078603559	8.653159142
0.6078719233	8.686657906
0.6078835138	8.50912571
0.6078950812	8.41774559
0.6079066486	8.730638504
0.6079182392	8.312739372
0.6079298066	8.416415215
0.607941374	8.795168877
0.6079529412	8.49833107
0.607964532	8.848338127
0.6079760992	8.435903549
0.6079876668	8.3163414
0.6079992573	8.766641617
0.6080108248	8.570220947
0.608022392	8.515393257
0.6080339618	8.502103806
0.6080455543	8.30214119
0.6080571217	8.661772728
0.6080686891	8.567886353
0.6080802565	8.540604591
0.608091847	8.530830383
0.6081034142	8.536896706
0.6081149819	8.57454586
0.6081265722	8.549255371
0.6081381398	8.497498512
0.608149707	8.586771011
0.6081612766	8.445893288
0.6081728695	8.570986748
0.6081844369	8.570264816
0.6081960273	8.675158501
0.6082075715	8.372751236
0.6082191623	8.585469246
0.6082307528	8.49402523
0.6082422971	8.508527756
0.6082538877	8.609723091
0.6082654549	8.492280006
0.6082770225	8.557496071
0.6082885899	8.512355804
0.6083001805	8.464938164
0.6083117479	8.463429451
0.6083233153	8.524942398
0.6083349058	8.53280735
0.608346473	8.61070919
0.6083580406	8.507236481
0.6083696123	8.442423821
0.6083812028	8.461688042
0.6083927703	8.451128006
0.6084043375	8.465158463
0.6084159078	8.445815086
0.6084274983	8.4891119
0.6084390689	8.490961075
0.6084506363	8.371043205
0.6084622037	8.368605614
0.6084737942	8.429707527
0.6084853616	8.483997345
0.608496952	8.414212227
0.6085084981	8.382813454
0.6085200886	8.46955967
0.608531656	8.567611694
0.6085432234	8.421949387
0.608554814	8.410238266
0.6085663814	8.462263107
0.6085779488	8.506288528
0.6085895162	8.470705032
0.6086011068	8.343624115
0.6086126742	8.461096764
0.6086242416	8.507261276
0.6086358321	8.525772095
0.6086474028	8.429358482
0.6086589702	8.354931831
0.6086705401	8.424111366
0.6086821099	8.386977196
0.6086937025	8.485652924
0.6087052699	8.282393456
0.6087168376	8.241096497
0.6087284066	8.565816879
0.608739999	8.372864723
0.6087515686	8.356119156
0.608763136	8.310330391
0.6087747034	8.398637772
0.6087862939	8.367136002
0.6087978611	8.323356628
0.6088094343	8.332918167
0.6088210256	8.374674797
0.6088325936	8.425987244
0.608844162	8.446315765
0.6088557302	8.280031204
0.6088672984	8.328321457
0.6088788897	8.311401367
0.6088904579	8.20569706
0.6089020261	8.004341126
0.6089136174	8.274333954
0.6089251856	8.406240463
0.6089367538	7.872443199
0.608948322	8.062590599
0.6089599134	8.400782585
0.6089714815	7.968914509
0.6089830497	8.319426537
0.6089946411	8.242804527
0.6090062093	7.814016819
0.6090177774	8.404930115
0.6090293454	8.092063904
0.609040937	7.968903065
0.6090525052	8.298796654
0.6090640965	7.976923466
0.6090756647	8.251005173
0.6090872329	8.116727829
0.6090988011	7.933619499
0.6091103693	8.169125557
0.6091219604	7.933047295
0.6091335286	8.399870873
0.6091450968	7.825129032
0.6091566881	7.99714756
0.6091682563	8.185194969
0.6091798247	7.838623047
0.609191416	8.307665825
0.609202984	7.837881088
0.6092145524	8.159852028
0.6092261206	7.86950922
0.6092377153	7.977368832
0.6092492837	8.234595299
0.6092608518	8.099795342
0.6092724201	7.968983173
0.6092840114	8.137662888
0.6092955794	7.983183384
0.6093071495	8.152597427
0.6093187198	8.027496338
0.6093303111	8.279022217
0.6093418793	7.945523739
0.6093534473	8.025666237
0.6093650197	8.106832504
0.6093766111	8.174468041
0.6093881793	8.001052856
0.6093997474	7.851406097
0.6094113154	8.061439514
0.609422907	7.771931171
0.6094344749	8.323391914
0.6094460431	7.800259113
0.6094576347	7.873697758
0.6094692055	8.222677231
0.6094807737	7.741140842
0.6094923512	8.028058052
0.6095039193	7.728424549
0.6095155105	7.789232731
0.6095270787	8.353173256
0.6095386471	7.860661507
0.6095502153	7.854728222
0.6095618066	7.921065331
0.6095733748	7.760159493
0.609584943	8.262224197
0.6095965343	7.88929081
0.6096081023	7.745281696
0.6096196707	8.301665306
0.6096312387	7.686062336
0.6096428303	7.765435219
0.6096543984	8.04149437
0.6096659692	7.738149166
0.6096775395	8.247233391
0.6096891306	7.837030888
0.609700699	7.951669216
0.6097122901	7.801290035
0.6097238377	7.941782475
0.609735429	8.131747246
0.6097469972	7.614051342
0.6097585673	8.323204994
0.6097701589	7.76076746
0.609781727	7.7182374
0.6097932953	8.305987358
0.6098048635	8.261962891
0.6098164368	7.872672081
0.6098280303	7.687017441
0.6098395985	8.012189865
0.6098511667	7.812375069
0.6098627348	7.719257355
0.6098743264	8.313724518
0.6098858944	7.748753071
0.6098974859	7.736824513
0.6099090541	8.190514565
0.6099206221	7.678061485
0.6099321903	7.934053421
0.6099437818	8.174324036
0.60995535	7.71902132
0.609966918	8.128744125
0.6099784864	7.745987415
0.6099900777	7.719711304
0.6100016459	8.333819389
0.6100132372	8.131224632
0.6100248054	7.683267593
0.6100363736	7.992385864
0.6100479418	7.585219383
0.6100595331	8.060670853
0.6100711011	7.842262745
0.6100826695	7.831507683
0.6100942375	7.62085247
0.610105829	7.794018269
0.6101173973	8.310531616
0.6101289654	7.691223145
0.6101405334	7.701561451
0.610152125	8.290839195
0.6101636931	7.715223789
0.6101752613	8.149152756
0.6101868527	7.634109974
0.6101984206	7.903504849
0.6102099942	7.606193543
0.6102215854	8.035860062
0.6102331306	8.018505096
0.6102447217	7.874362469
0.6102562899	7.673239708
0.6102678583	7.8289814
0.6102794496	8.074847221
0.6102910178	7.591005802
0.610302586	8.199746132
0.6103141774	7.917646408
0.6103257455	8.123514175
0.6103373367	7.594306946
0.6103488819	7.728429318
0.6103604733	8.067463875
0.6103720414	7.571848869
0.6103836096	7.832262516
0.610395201	7.825060368
0.6104067692	7.928675175
0.61041834	7.984325886
0.6104299082	7.523139477
0.6104414995	7.936603069
0.6104530677	7.731053829
0.6104646369	7.756381035
0.610476205	7.758443356
0.6104877964	7.463722229
0.6104993646	7.986282826
0.6105109327	8.073638916
0.6105225241	7.546468735
0.6105340923	7.591581345
0.6105456836	8.16539669
0.6105572518	7.563399792
0.6105688198	7.722507477
0.6105803882	8.225546837
0.61059196	7.678509235
0.6106035281	7.58060503
0.6106151196	8.327188492
0.6106266878	7.63630867
0.6106382559	7.897408485
0.6106498299	7.770446301
0.6106614212	7.64089489
0.6106729894	8.008346558
0.6106845601	7.484972954
0.6106961283	7.691783905
0.6107077194	8.115085602
0.6107192878	7.542753696
0.610730856	7.587090492
0.6107424242	8.363596916
0.6107540155	8.118051529
0.6107655837	7.494782925
0.6107771519	7.481565952
0.6107887433	8.174927712
0.6108003115	7.968011856
0.6108118794	7.858700275
0.610823471	7.61167717
0.6108350389	8.090147972
0.6108466074	7.809016228
0.6108581755	8.114624977
0.6108697668	7.808370113
0.6108813351	7.789304733
0.6108929033	8.392829895
0.6109044946	7.678103924
0.6109160628	7.691320419
0.6109276308	7.547176838
0.6109391992	7.583773136
0.6109507905	8.077568054
0.6109623587	7.662409782
0.6109739269	7.550859928
0.6109855182	8.214715958
0.6109970894	7.556228161
0.6110086573	7.618572712
0.6110202257	7.999363422
0.611031817	7.545425892
0.6110433852	7.733196735
0.6110549534	7.718636036
0.6110665216	7.940643787
0.6110781129	7.747105122
0.6110896811	7.477389813
0.6111012493	8.241062164
0.6111128407	7.57654953
0.6111244086	7.946109295
0.6111359768	7.491823673
0.6111475452	7.665820599
0.6111591365	8.059241295
0.6111707067	7.764366627
0.6111822806	7.46091938
0.6111938717	7.839702606
0.6112054401	7.799620628
0.6112170083	7.487378597
0.6112285765	8.189995766
0.6112401447	7.647233009
0.611251736	7.928081036
0.6112633042	7.706666946
0.6112748955	7.572047234
0.6112864637	7.927696705
0.6112980319	7.561835289
0.6113096001	7.982074261
0.611321193	7.49247694
0.6113327641	7.594207764
0.6113443323	8.194602013
0.6113559005	7.4513731
0.6113674685	7.79094696
0.61137906	7.709331036
0.6113906282	7.54524374
0.6114022196	8.197047234
0.6114137878	7.600494385
0.6114253559	7.455245495
0.6114369241	7.974508762
0.6114484923	7.568473816
0.6114600837	7.78651619
0.6114716519	7.738839626
0.61148322	7.791707993
0.6114948111	7.883061409
0.6115063807	7.874051094
0.6115179506	7.488247871
0.6115295188	7.661780834
0.6115411101	7.945273876
0.6115526784	7.564556599
0.6115642515	7.629870415
0.6115758197	7.45738411
0.611587411	7.303131104
0.6115989792	7.367489338
0.6116105474	7.302873612
0.6116221411	7.293129921
0.6116337093	7.271805286
0.6116452773	7.412175179
0.6116568457	7.280386925
0.6116684139	7.397496223
0.6116800052	7.803530693
0.6116915734	7.451795578
0.6117031414	7.364077568
0.6117147329	7.314301014
0.6117263011	7.393711567
0.6117378691	7.6481843
0.6117494375	7.509567738
0.6117610288	7.327232361
0.611772597	7.404206753
0.6117841652	7.597254753
0.6117957565	7.97851181
0.6118073247	7.346146107
0.6118188945	7.436331749
0.611830466	8.060072899
0.6118420574	7.360146523
0.6118536253	7.298774242
0.6118651937	7.774903297
0.6118767619	7.54507637
0.6118883532	7.915332794
0.6118999212	7.8387146
0.6119114896	7.391839027
0.611923081	7.392789841
0.6119346489	8.078607559
0.6119462171	7.479030609
0.6119577855	7.370312691
0.6119693766	7.873185158
0.6119809451	7.895028114
0.6119925132	7.645388126
0.6120041046	7.771755219
0.6120156727	7.36670351
0.6120272426	7.550448418
0.6120388108	8.315414429
0.612050404	7.726490021
0.6120619724	7.72828722
0.6120735637	7.518398285
0.6120851087	7.529742241
