Day fraction since midnight on 	pH probe (pH)
0.6073395356	8.5893630981
0.6073511031	8.6749315262
0.6073626705	8.4732580185
0.6073742379	8.3655910492
0.6073858284	8.4008579254
0.6073973956	9.2005958557
0.6074089676	8.4129304886
0.6074205348	8.5278348923
0.6074321256	8.5062904358
0.6074436928	8.4947938919
0.6074552604	8.5100669861
0.6074668509	8.5632085800
0.6074784184	8.5543317795
0.6074899858	8.6220912933
0.6075015532	8.4969501495
0.6075131435	8.5200452805
0.6075247112	8.3707256317
0.6075362786	8.4658365250
0.6075478689	8.5057849884
0.6075594363	8.4390125275
0.6075710271	8.5108804703
0.6075825711	8.5061578751
0.6075941618	8.5519819260
0.6076057525	8.4369916916
0.6076172967	8.4226503372
0.6076288873	8.4433450699
0.6076404547	8.3765459061
0.6076520221	8.5096025467
0.6076635895	8.4205551147
0.6076751798	8.4149036407
0.6076867475	8.4987363815
0.6076983149	8.4749174118
0.6077099052	8.4648962021
0.6077214728	8.4424047470
0.6077330403	8.3998298645
0.6077446077	8.4450330734
0.6077561980	8.4825563431
0.6077677656	8.4067668915
0.6077793330	8.4183950424
0.6077909234	8.4313869476
0.6078024910	8.3674440384
0.6078140602	8.5531473160
0.6078256305	8.7598581314
0.6078372210	8.8723983765
0.6078487884	8.8648881912
0.6078603559	8.6531591415
0.6078719233	8.6866579056
0.6078835138	8.5091257095
0.6078950812	8.4177455902
0.6079066486	8.7306385040
0.6079182392	8.3127393723
0.6079298066	8.4164152145
0.6079413740	8.7951688766
0.6079529412	8.4983310699
0.6079645320	8.8483381271
0.6079760992	8.4359035492
0.6079876668	8.3163414001
0.6079992573	8.7666416168
0.6080108248	8.5702209473
0.6080223920	8.5153932571
0.6080339618	8.5021038055
0.6080455543	8.3021411896
0.6080571217	8.6617727280
0.6080686891	8.5678863525
0.6080802565	8.5406045914
0.6080918470	8.5308303833
0.6081034142	8.5368967056
0.6081149819	8.5745458603
0.6081265722	8.5492553711
0.6081381398	8.4974985123
0.6081497070	8.5867710114
0.6081612766	8.4458932877
0.6081728695	8.5709867477
0.6081844369	8.5702648163
0.6081960273	8.6751585007
0.6082075715	8.3727512360
0.6082191623	8.5854692459
0.6082307528	8.4940252304
0.6082422971	8.5085277557
0.6082538877	8.6097230911
0.6082654549	8.4922800064
0.6082770225	8.5574960709
0.6082885899	8.5123558044
0.6083001805	8.4649381638
0.6083117479	8.4634294510
0.6083233153	8.5249423981
0.6083349058	8.5328073502
0.6083464730	8.6107091904
0.6083580406	8.5072364807
0.6083696123	8.4424238205
0.6083812028	8.4616880417
0.6083927703	8.4511280060
0.6084043375	8.4651584625
0.6084159078	8.4458150864
0.6084274983	8.4891119003
0.6084390689	8.4909610748
0.6084506363	8.3710432053
0.6084622037	8.3686056137
0.6084737942	8.4297075272
0.6084853616	8.4839973450
0.6084969520	8.4142122269
0.6085084981	8.3828134537
0.6085200886	8.4695596695
0.6085316560	8.5676116943
0.6085432234	8.4219493866
0.6085548140	8.4102382660
0.6085663814	8.4622631073
0.6085779488	8.5062885284
0.6085895162	8.4707050323
0.6086011068	8.3436241150
0.6086126742	8.4610967636
0.6086242416	8.5072612762
0.6086358321	8.5257720947
0.6086474028	8.4293584824
0.6086589702	8.3549318314
0.6086705401	8.4241113663
0.6086821099	8.3869771957
0.6086937025	8.4856529236
0.6087052699	8.2823934555
0.6087168376	8.2410964966
0.6087284066	8.5658168793
