Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6409112750	-0.6435103416	3.1819949150
0.6409691527	-0.8793982267	3.3139605522
switched inflow to dye @ 15:23
0.6410270071	-1.0468828678	3.4100065231
0.6410848871	-1.1240293980	3.4549160004
0.6411427647	-1.1630109549	3.4777708054
0.6412006193	-1.1842292547	3.4902570248
0.6412584968	-1.2018368244	3.5006432533
0.6413163744	-1.2117263079	3.5064866543
0.6413742289	-1.2202093601	3.5115046501
0.6414321293	-1.2276000977	3.5158808231
0.6414899842	-1.2324604988	3.5187609196
0.6415478430	-1.2376666069	3.5218477249
0.6416057208	-1.2418264151	3.5243155956
0.6416635771	-1.2449163198	3.5261495113
0.6417214551	-1.2474560738	3.5276575089
0.6417793347	-1.2489227057	3.5285284519
0.6418371914	-1.2527140379	3.5307807922
0.6418950694	-1.2530310154	3.5309691429
0.6419529470	-0.7643153071	3.2491006851
0.6420108037	0.3620743752	2.6604058743
0.6420686810	-0.2565189600	2.9736073017
0.6421265586	-1.0464676619	3.4097659588
0.6421844132	-1.2415435314	3.5241477489
0.6422422908	-1.2434450388	3.5252761841
0.6423001710	-1.2435418367	3.5253336430
0.6423580255	-1.2433462143	3.5252175331
0.6424159054	-1.2426946163	3.5248308182
0.6424737830	-1.2432357073	3.5251519680
0.6425316375	-1.2436720133	3.5254108906
0.6425895173	-1.2444097996	3.5258488655
0.6426473738	-1.2449841499	3.5261898041
0.6427052769	-1.2460559607	3.5268261433
0.6427631316	-1.2471851110	3.5274965763
0.6428209861	-1.2481747866	3.5280842781
0.6428788637	-1.2490346432	3.5285949707
0.6429367413	-1.2501268387	3.5292437077
0.6429945959	-1.2515603304	3.5300953388
0.6430524756	-1.2527621984	3.5308094025
0.6431103578	-1.2540841103	3.5315949917
0.6431682144	-1.2554154396	3.5323863029
0.6432260923	-1.2565228939	3.5330445766
0.6432839465	-1.2576208115	3.5336973667
0.6433418476	-1.2586016655	3.5342805386
0.6433997043	-1.2592796087	3.5346837044
0.6434575589	-1.2598581314	3.5350277424
0.6435154366	-1.2600873709	3.5351641178
0.6435733142	-1.2600188255	3.5351233482
0.6436311687	-1.2595702410	3.5348565578
0.6436890505	-1.2585419416	3.5342450142
0.6437469281	-1.2574604750	3.5336019993
0.6438047873	-1.2557672262	3.5325953960
0.6438626649	-1.2534655333	3.5312273502
0.6439205258	-1.2503688335	3.5293874741
0.6439784031	-1.2475481033	3.5277121067
0.6440362808	-1.2427376509	3.5248563290
0.6440941378	-1.2367701530	3.5213160515
0.6441520178	-1.2291924953	3.5168242455
0.6442098951	-1.2198753357	3.5113070011
0.6442677497	-1.2073005438	3.5038707256
0.6443256296	-1.1874207258	3.4921379089
0.6443834822	-1.1528809071	3.4718210697
0.6444413604	-1.0573009253	3.4160463810
0.6444992363	-0.8651386499	3.3058741093
0.6445570949	-0.6020814776	3.1592099667
0.6446149702	-0.3418504894	3.0187094212
0.6446728247	-0.0394734964	2.8609950542
0.6447307247	0.2375747114	2.7215437889
0.6447885795	0.5826670527	2.5543487072
0.6448464317	0.8704556227	2.4202344418
0.6449043110	1.2322835922	2.2582051754
0.6449621635	1.5309659243	2.1297724247
0.6450200433	1.8995103836	1.9776560068
0.6450779185	2.2174811363	1.8518339396
0.6451357729	2.5871877670	1.7115854025
0.6451936518	2.9134769440	1.5929878950
0.6452515042	3.2775330544	1.4661529064
0.6453094046	3.6183083057	1.3524585962
0.6453672571	3.9753117561	1.2383446693
0.6454251092	4.3197937012	1.1328759193
0.6454829846	4.6664509773	1.0311508179
0.6455408599	4.9999637604	0.9372867346
0.6455987121	5.3321890831	0.8475300670
0.6456565896	5.6761918068	0.7583711147
0.6457144649	5.9941811562	0.6792381406
0.6457723170	6.3366036415	0.5974103212
0.6458302154	6.6379570961	0.5281889439
0.6458880698	6.9786238670	0.4529608488
0.6459459220	7.2593979836	0.3932813108
0.6460037973	7.6023359299	0.3231258094
0.6460616745	7.8685240746	0.2706718147
0.6461195331	8.2039928436	0.2069614679
0.6461774080	8.4641714096	0.1593257636
0.6462352833	8.7793388367	0.1036240980
0.6462931355	9.0361900330	0.0597967394
0.6463510110	9.3363943100	0.0102936169
0.6464088885	9.5878610611	-0.0297910757
0.6464667429	9.8733930588	-0.0738299415
0.6465246180	10.1320180893	-0.1124077737
0.6465824701	10.4002666473	-0.1511475593
0.6466403688	10.6559638977	-0.1869052947
0.6466982229	10.9111967087	-0.2214957327
0.6467560799	11.1562070847	-0.2536963522
0.6468139611	11.3961830139	-0.2843098044
0.6468718155	11.6435689926	-0.3149382174
0.6469296904	11.8627138138	-0.3413037956
0.6469875545	12.1081266403	-0.3699994683
0.6470454297	12.3235034943	-0.3944804072
0.6471032892	12.5631713867	-0.4209719598
0.6471611686	12.7545299530	-0.4415709376
0.6472190365	13.0008115768	-0.4673795998
0.6472768927	13.1861190796	-0.4862903357
0.6473347703	13.4191589355	-0.5094694495
0.6473926265	13.6053009033	-0.5275132656
0.6474505015	13.8391237259	-0.5496022701
0.6475083770	14.0186071396	-0.5661327839
