Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6246497018	-1.2766034603	3.5449969769
0.6247075795	-1.2766773701	3.5450410843
0.6247654360	-1.2765121460	3.5449426174
0.6248233139	-1.2766630650	3.5450325012
switched inflow to dye @ 15:00
0.6248811915	-1.2767637968	3.5450925827
0.6249390461	-1.2766274214	3.5450112820
0.6249969234	-1.2765966654	3.5449929237
0.6250548057	-1.2769250870	3.5451886654
0.6251126623	-1.2768758535	3.5451593399
0.6251705396	-1.2768110037	3.5451207161
0.6252284175	-1.2768726349	3.5451574326
0.6252862718	-1.2768818140	3.5451629162
0.6253441497	-1.2767342329	3.5450749397
0.6254020270	-1.2767138481	3.5450627804
0.6254598861	-1.2767750025	3.5450992584
0.6255177659	-1.2766902447	3.5450487137
0.6255756201	-1.2767978907	3.5451128483
0.6256335211	-1.2767442465	3.5450809002
0.6256913777	-1.2767434120	3.5450804234
0.6257492325	-1.2767374516	3.5450768471
0.6258071101	-1.2767854929	3.5451054573
0.6258649898	-1.2768294811	3.5451316833
0.6259228442	-1.2768009901	3.5451147556
0.6259807216	-1.2767446041	3.5450811386
0.6260385992	-1.2767646313	3.5450930595
0.6260964538	-1.2768062353	3.5451178551
0.6261543548	-1.2767773867	3.5451006889
0.6262122090	-1.2767894268	3.5451078415
0.6262700661	-1.2768306732	3.5451323986
0.6263279435	-1.2768026590	3.5451157093
0.6263858232	-1.2767610550	3.5450909138
0.6264437006	-1.2768102884	3.5451202393
0.6265015554	-1.2768070698	3.5451183319
0.6265594353	-1.2768038511	3.5451164246
0.6266172895	-1.2768746614	3.5451586246
0.6266751675	-1.2767630816	3.5450921059
0.6267330255	-1.2760657072	3.5446765423
0.6267909031	-1.2743279934	3.5436410904
0.6268487849	-1.2723541260	3.5424652100
0.6269066628	-1.2695724964	3.5408086777
0.6269645196	-1.2653099298	3.5382711887
0.6270223972	-1.2536351681	3.5313282013
0.6270802554	-1.2303396463	3.5175039768
0.6271381365	-0.9784895778	3.3705468178
0.6271959930	0.2650116980	2.7079899311
0.6272538730	2.5071718693	1.7414019108
0.6273117297	4.9372920990	0.9546329975
0.6273696077	8.0509805679	0.2356953621
0.6274274896	10.7230720520	-0.1961054504
0.6274853445	13.8506402969	-0.5506739020
0.6275432240	16.4164676666	-0.7553302050
0.6276010808	19.2449455261	-0.9174693227
0.6276589610	21.3867568970	-1.0077604055
0.6277168409	23.5968036652	-1.0790942907
0.6277746954	27.3778667450	-1.1640723944
0.6278325729	29.4547405243	-1.1964446306
0.6278904503	30.5897502899	-1.2109419107
0.6279483282	31.6311092377	-1.2225776911
0.6280061847	32.4800224304	-1.2310217619
0.6280640647	33.5012626648	-1.2400797606
0.6281219222	34.1674575806	-1.2454050779
0.6281798021	34.9566001892	-1.2511745691
0.6282376563	35.4668426514	-1.2546181679
0.6282955365	36.0993690491	-1.2585980892
0.6283534138	36.5660858154	-1.2613427639
0.6284112683	37.0833282471	-1.2642062902
0.6284691501	37.3807258606	-1.2657722235
0.6285270276	37.7591209412	-1.2676837444
0.6285849052	38.0337066650	-1.2690162659
0.6286427598	38.3828353882	-1.2706469297
0.6287006374	38.5942573547	-1.2716009617
0.6287584920	38.8361778259	-1.2726626396
0.6288163731	38.9765586853	-1.2732644081
0.6288742277	39.1654624939	-1.2740579844
0.6289321072	39.2877578735	-1.2745620012
0.6289899871	39.4267845154	-1.2751258612
0.6290478419	39.5338516235	-1.2755535841
0.6291057426	39.6449966431	-1.2759916782
0.6291635994	39.7100830078	-1.2762454748
0.6292214576	39.8105201721	-1.2766331434
0.6292793355	39.8662109375	-1.2768460512
0.6293372128	39.9591026306	-1.2771979570
0.6293950673	40.0155334473	-1.2774097919
0.6294529453	40.0899658203	-1.2776869535
0.6295108226	40.1354408264	-1.2778550386
0.6295687005	40.2142143250	-1.2781440020
0.6296265551	40.2428016663	-1.2782481909
0.6296844323	40.3189888000	-1.2785240412
0.6297422872	40.3384590149	-1.2785941362
0.6298001648	40.3931541443	-1.2787901163
0.6298580421	40.4252624512	-1.2789045572
0.6299158970	40.4698219299	-1.2790626287
0.6299737746	40.5030479431	-1.2791799307
0.6300316521	40.5409622192	-1.2793132067
0.6300895067	40.5626754761	-1.2793892622
0.6301473867	40.5952568054	-1.2795029879
0.6302052641	40.6188659668	-1.2795851231
